category,jsd,1-jsd,cosine
ethical,0.5007107917493289,0.4992892082506712,0.586206303390172
happiness,0.36803587958515016,0.6319641204148498,0.6463693695004009
political_culture,0.600356641834158,0.39964335816584196,0.37884834273521145
social_capital,0.37091470488346956,0.6290852951165304,0.6556845656664966
