Q_index,category,jsd,1-jsd,cosine
Q46,happiness,0.8754421575347789,0.12455784246522106,0.047761875453763675
Q47,happiness,0.09369598949873775,0.9063040105012623,0.9213266093454845
Q48,happiness,0.4179749029368153,0.5820250970631847,0.7617170953556173
Q49,happiness,0.4301203385129687,0.5698796614870313,0.7392799211313944
Q50,happiness,0.5480959832001958,0.4519040167998042,0.5682456830048321
Q51,happiness,0.03797056182518539,0.9620294381748146,0.9985079446594416
Q52,happiness,0.02037716357763558,0.9796228364223645,0.9996521484625859
Q53,happiness,0.03465461635911343,0.9653453836408865,0.9976366973742948
Q54,happiness,0.8217216764104269,0.17827832358957307,0.0727353763031925
Q55,happiness,0.023693927542036232,0.9763060724579637,0.9994744980508768
Q56,happiness,0.18453372146701064,0.8154662785329894,0.9334186291960526
Q57,social_capital,0.3158557312841231,0.684144268715877,0.503585270189002
Q58,social_capital,0.10662345015181585,0.8933765498481842,0.9727518034622448
Q59,social_capital,0.22910569100392392,0.770894308996076,0.9145475267079225
Q60,social_capital,0.721553970661017,0.278446029338983,0.1688320999863464
Q61,social_capital,0.6588183814633418,0.3411816185366582,0.2475398234087445
Q62,social_capital,0.552771594383032,0.44722840561696797,0.37697951714206546
Q63,social_capital,0.6300719749197986,0.3699280250802014,0.2827488703882824
Q64,social_capital,0.08251773967391077,0.9174822603260893,0.9807103352210043
Q65,social_capital,0.392196718692635,0.607803281307365,0.633421388014552
Q66,social_capital,0.3653453508045502,0.6346546491954498,0.678450582641414
Q67,social_capital,0.2792906716374156,0.7207093283625844,0.8110475096113107
Q68,social_capital,0.41198920899715574,0.5880107910028443,0.5801578713504736
Q69,social_capital,0.30211298673160003,0.6978870132684,0.7914643606545204
Q70,social_capital,0.8265909381737998,0.1734090618262002,0.09790681337227568
Q71,social_capital,0.3342762018560347,0.6657237981439653,0.7480511699793878
Q72,social_capital,0.25023341974600855,0.7497665802539915,0.8999814833283005
Q73,social_capital,0.2933839855177737,0.7066160144822262,0.8472562913749664
Q74,social_capital,0.28844763047048533,0.7115523695295147,0.798696352989926
Q75,social_capital,0.8589890883310567,0.1410109116689433,0.07014454830913565
Q76,social_capital,0.260745942182803,0.739254057817197,0.8132311880524965
Q77,social_capital,0.39581560200335836,0.6041843979966417,0.6270782166032922
Q78,social_capital,0.8298714478232394,0.1701285521767606,0.08751350551514187
Q79,social_capital,0.24461260836311852,0.7553873916368815,0.8340753952584447
Q80,social_capital,0.3974870315269527,0.6025129684730473,0.530149248310283
Q81,social_capital,0.35364061353242926,0.6463593864675707,0.6230853451097825
Q82,social_capital,0.24383307361102055,0.7561669263889794,0.8226024296684846
Q83,social_capital,0.24965348726008363,0.7503465127399164,0.8845562872726555
Q84,social_capital,0.25255822899651603,0.747441771003484,0.8782377462791462
Q85,social_capital,0.0732813747053998,0.9267186252946003,0.9593655472710105
Q86,social_capital,0.26966148693263603,0.730338513067364,0.8562923058471485
Q87,social_capital,0.25255822899651614,0.7474417710034839,0.8718854411911507
Q88,social_capital,0.293333304683124,0.706666695316876,0.6106755823579352
Q89,social_capital,0.21464965039731124,0.7853503496026888,0.9111973300511339
Q90,social_capital,0.9811132729305833,0.018886727069416742,0.009480568394558159
Q91,social_capital,0.18453372146701064,0.8154662785329894,0.9471555777351855
Q92,social_capital,0.24965348726008363,0.7503465127399164,0.890375351887417
Q176,ethical,0.9719542157868416,0.028045784213158398,0.016265303772636498
Q177,ethical,0.6322296628679848,0.36777033713201523,0.44442080288425356
Q178,ethical,0.5728314132674585,0.42716858673254154,0.5323448309554122
Q179,ethical,0.316711191775703,0.6832888082242969,0.8798322514384318
Q180,ethical,0.36881462324614833,0.6311853767538517,0.8119935326347409
Q181,ethical,0.3772183959179639,0.6227816040820361,0.79322679324931
Q182,ethical,0.6218438405401748,0.37815615945982517,0.2443027361230503
Q183,ethical,0.5146128716571865,0.4853871283428135,0.38726924526134987
Q184,ethical,0.46040013675048963,0.5395998632495104,0.6236108905541061
Q185,ethical,0.877322119524113,0.12267788047588701,0.0997003522329936
Q186,ethical,0.37390702176708907,0.626092978232911,0.6993002480227317
